,acquisitionYear,year,acquisition
838,1856,1794,accepted
839,1856,1794,accepted
840,1856,1794,accepted
841,1856,1794,accepted
842,1856,1794,accepted
843,1856,1794,accepted
844,1856,1794,accepted
845,1856,1794,accepted
846,1856,1794,accepted
847,1856,1794,accepted
848,1856,1794,accepted
849,1856,1794,accepted
850,1856,1794,accepted
851,1856,1793,accepted
852,1856,1794,accepted
853,1856,1794,accepted
854,1856,1802,accepted
855,1856,1793,accepted
856,1856,1794,accepted
857,1856,1793,accepted
858,1856,1794,accepted
859,1856,1794,accepted
860,1856,1794,accepted
861,1856,1794,accepted
862,1856,1794,accepted
863,1856,1794,accepted
864,1856,1794,accepted
865,1856,1794,accepted
866,1856,1794,accepted
867,1856,1794,accepted
868,1856,1794,accepted
869,1856,1794,accepted
870,1856,1794,accepted
871,1856,1794,accepted
872,1856,1794,accepted
873,1856,1794,accepted
874,1856,1794,accepted
875,1856,1794,accepted
876,1856,1794,accepted
877,1856,1793,accepted
878,1856,1794,accepted
879,1856,1794,accepted
880,1856,1793,accepted
881,1856,1794,accepted
882,1856,1794,accepted
883,1856,1794,accepted
884,1856,1793,accepted
885,1856,1794,accepted
886,1856,1793,accepted
887,1856,1794,accepted
888,1856,1794,accepted
889,1856,1793,accepted
890,1856,1794,accepted
891,1856,1794,accepted
892,1856,1794,accepted
893,1856,1794,accepted
894,1856,1794,accepted
895,1856,1794,accepted
896,1856,1794,accepted
897,1856,1794,accepted
898,1856,1794,accepted
899,1856,1794,accepted
900,1856,1794,accepted
901,1856,1794,accepted
902,1856,1794,accepted
903,1856,1793,accepted
904,1856,1795,accepted
905,1856,1793,accepted
906,1856,1795,accepted
907,1856,1793,accepted
908,1856,1794,accepted
909,1856,1794,accepted
910,1856,1793,accepted
911,1856,1794,accepted
912,1856,1793,accepted
913,1856,1795,accepted
914,1856,1795,accepted
915,1856,1793,accepted
916,1856,1794,accepted
917,1856,1793,accepted
918,1856,1794,accepted
919,1856,1794,accepted
920,1856,1798,accepted
921,1856,1794,accepted
922,1856,1794,accepted
923,1856,1794,accepted
924,1856,1794,accepted
925,1856,1794,accepted
926,1856,1794,accepted
927,1856,1794,accepted
928,1856,1794,accepted
929,1856,1794,accepted
930,1856,1794,accepted
931,1856,1794,accepted
932,1856,1794,accepted
933,1856,1794,accepted
934,1856,1794,accepted
935,1856,1794,accepted
936,1856,1793,accepted
937,1856,1793,accepted
938,1856,1794,accepted
939,1856,1794,accepted
940,1856,1794,accepted
941,1856,1794,accepted
942,1856,1794,accepted
943,1856,1794,accepted
944,1856,1794,accepted
945,1856,1794,accepted
946,1856,1793,accepted
947,1856,1793,accepted
948,1856,1794,accepted
949,1856,1794,accepted
950,1856,1794,accepted
951,1856,1794,accepted
952,1856,1794,accepted
953,1856,1794,accepted
954,1856,1794,accepted
955,1856,1794,accepted
